,conceptA,conceptB,isPrerequisite,dataset,fileA,fileB,conceptA_ind,conceptB_ind
0,1076,1562,1,moocML,mooc,mooc,128,160
1,1347,855,1,moocML,mooc,mooc,160,417
2,1347,516,0,moocML,mooc,mooc,160,101
3,1347,1274,0,moocML,mooc,mooc,160,301
4,1347,443,0,moocML,mooc,mooc,160,120
5,1347,1526,0,moocML,mooc,mooc,160,415
6,1347,1153,0,moocML,mooc,mooc,160,132
7,1347,846,1,moocML,mooc,mooc,160,294
8,1347,199,0,moocML,mooc,mooc,160,298
9,1333,1562,1,moocML,mooc,mooc,347,160
10,749,1562,1,moocML,mooc,mooc,314,160
11,1347,283,0,moocML,mooc,mooc,160,88
12,1347,1422,0,moocML,mooc,mooc,160,42
13,1347,1536,0,moocML,mooc,mooc,160,350
14,1347,1488,0,moocML,mooc,mooc,160,213
15,1347,547,0,moocML,mooc,mooc,160,75
16,1347,442,0,moocML,mooc,mooc,160,357
17,1347,662,0,moocML,mooc,mooc,160,80
18,697,1562,1,moocML,mooc,mooc,227,160
19,1347,404,0,moocML,mooc,mooc,160,35
20,1347,944,0,moocML,mooc,mooc,160,409
21,1347,1172,0,moocML,mooc,mooc,160,136
22,1347,882,0,moocML,mooc,mooc,160,224
23,1347,1140,0,moocML,mooc,mooc,160,49
24,914,1562,1,moocML,mooc,mooc,18,160
25,1347,973,0,moocML,mooc,mooc,160,382
26,1347,616,0,moocML,mooc,mooc,160,28
27,1347,843,0,moocML,mooc,mooc,160,130
28,1347,1097,0,moocML,mooc,mooc,160,363
29,1347,493,0,moocML,mooc,mooc,160,142
30,1347,337,0,moocML,mooc,mooc,160,304
31,1347,369,0,moocML,mooc,mooc,160,237
32,1347,263,0,moocML,mooc,mooc,160,396
33,1347,981,0,moocML,mooc,mooc,160,96
34,1347,1067,0,moocML,mooc,mooc,160,81
35,1347,799,0,moocML,mooc,mooc,160,198
36,1347,509,0,moocML,mooc,mooc,160,383
37,1347,966,0,moocML,mooc,mooc,160,311
38,1347,1075,0,moocML,mooc,mooc,160,312
39,1347,878,0,moocML,mooc,mooc,160,4
40,129,1562,1,moocML,mooc,mooc,371,160
41,1347,561,0,moocML,mooc,mooc,160,218
42,1347,1533,0,moocML,mooc,mooc,160,273
43,1347,124,0,moocML,mooc,mooc,160,397
44,1347,1259,0,moocML,mooc,mooc,160,353
45,1347,603,0,moocML,mooc,mooc,160,107
46,1347,1062,0,moocML,mooc,mooc,160,118
47,1347,317,0,moocML,mooc,mooc,160,147
48,1347,134,0,moocML,mooc,mooc,160,51
49,1347,622,0,moocML,mooc,mooc,160,267
50,1076,855,1,moocML,mooc,mooc,128,417
51,1076,516,0,moocML,mooc,mooc,128,101
52,1076,1274,0,moocML,mooc,mooc,128,301
53,1076,443,0,moocML,mooc,mooc,128,120
54,1076,1526,0,moocML,mooc,mooc,128,415
55,1076,1153,0,moocML,mooc,mooc,128,132
56,1076,846,1,moocML,mooc,mooc,128,294
