,conceptA,conceptB,isPrerequisite,dataset,file,conceptA_ind,conceptB_ind
0,activation values,activation function,1,moocML,mooc,128,160
1,activation function,back prop,1,moocML,mooc,160,417
2,activation function,bias unit,0,moocML,mooc,160,101
3,activation function,features,0,moocML,mooc,160,301
4,activation function,derivative term,0,moocML,mooc,160,120
5,activation function,error cost function,0,moocML,mooc,160,415
6,activation function,feature vector,0,moocML,mooc,160,132
7,activation function,forward propagation,1,moocML,mooc,160,294
8,activation function,gradient descent,0,moocML,mooc,160,298
9,hidden layer,activation function,1,moocML,mooc,347,160
10,hidden unit,activation function,1,moocML,mooc,314,160
11,activation function,recall,0,moocML,mooc,160,88
12,activation function,hypothesis,0,moocML,mooc,160,42
13,activation function,input layer,0,moocML,mooc,160,350
14,activation function,input units,0,moocML,mooc,160,213
15,activation function,learning method,0,moocML,mooc,160,75
16,activation function,learning problem,0,moocML,mooc,160,357
17,activation function,linear regression,0,moocML,mooc,160,80
18,logistic function,activation function,1,moocML,mooc,227,160
19,activation function,logistic regression,0,moocML,mooc,160,35
20,activation function,loss function,0,moocML,mooc,160,409
21,activation function,matrix vector multiplication,0,moocML,mooc,160,136
22,activation function,minimization problem,0,moocML,mooc,160,224
23,activation function,negative example,0,moocML,mooc,160,49
24,neural network,activation function,1,moocML,mooc,18,160
25,activation function,nonlinear hypotheses,0,moocML,mooc,160,382
26,activation function,matrix,0,moocML,mooc,160,28
27,activation function,optimal solution,0,moocML,mooc,160,130
28,activation function,optimization algorithms,0,moocML,mooc,160,363
29,activation function,optimization objective,0,moocML,mooc,160,142
30,activation function,optimization problem,0,moocML,mooc,160,304
31,activation function,output label,0,moocML,mooc,160,237
32,activation function,output layer,0,moocML,mooc,160,396
33,activation function,output unit,0,moocML,mooc,160,96
34,activation function,parameter vector,0,moocML,mooc,160,81
35,activation function,partial derivative,0,moocML,mooc,160,198
36,activation function,polynomial terms,0,moocML,mooc,160,383
37,activation function,positive data,0,moocML,mooc,160,311
38,activation function,regression model,0,moocML,mooc,160,312
39,activation function,regularization,0,moocML,mooc,160,4
40,sigmoid function,activation function,1,moocML,mooc,371,160
41,activation function,squared error,0,moocML,mooc,160,218
42,activation function,supervised learning,0,moocML,mooc,160,273
43,activation function,support vector,0,moocML,mooc,160,397
44,activation function,support vector machine,0,moocML,mooc,160,353
45,activation function,test data set,0,moocML,mooc,160,107
46,activation function,training data,0,moocML,mooc,160,118
47,activation function,training data set,0,moocML,mooc,160,147
48,activation function,validation set,0,moocML,mooc,160,51
49,activation function,vector multiplication,0,moocML,mooc,160,267
50,activation values,back prop,1,moocML,mooc,128,417
51,activation values,bias unit,0,moocML,mooc,128,101
52,activation values,features,0,moocML,mooc,128,301
53,activation values,derivative term,0,moocML,mooc,128,120
