Unnamed: 0,conceptA,conceptB,isPrerequisite,dataset,file,conceptA_ind,conceptB_ind
12730,0,10,0,al_cpl,al_cpl,491,427
12596,0,656,1,al_cpl,al_cpl,491,438
12391,0,928,0,al_cpl,al_cpl,491,451
12460,0,1574,1,al_cpl,al_cpl,491,483
12057,0,386,1,al_cpl,al_cpl,491,76
9589,1,1202,0,drive,drive,82,504
9553,1,791,0,drive,drive,82,478
9561,1,743,1,drive,drive,82,480
9603,1,1448,0,drive,drive,82,512
9566,1,80,0,drive,drive,82,483
9548,1,1399,0,drive,drive,82,472
9601,1,1124,1,drive,drive,82,84
9541,1,1182,0,drive,drive,82,468
9550,1,141,0,drive,drive,82,417
9583,1,996,0,drive,drive,82,420
9577,1,1016,1,drive,drive,82,496
9532,1,522,1,drive,drive,82,329
9544,1,959,1,drive,drive,82,469
9538,1,1365,1,drive,drive,82,464
4730,2,1062,0,moocML,mooc,272,118
4731,2,317,0,moocML,mooc,272,147
4732,2,134,0,moocML,mooc,272,51
4721,2,1140,0,moocML,mooc,272,49
4728,2,878,0,moocML,mooc,272,4
4720,2,277,1,moocML,mooc,272,100
4729,2,314,0,moocML,mooc,272,117
4726,2,881,0,moocML,mooc,272,275
4718,2,503,0,moocML,mooc,272,296
4724,2,799,0,moocML,mooc,272,198
4723,2,369,0,moocML,mooc,272,237
4725,2,966,0,moocML,mooc,272,311
7662,3,1023,0,moocDSA,mooc,59,391
7663,3,815,0,moocDSA,mooc,59,242
7661,3,291,1,moocDSA,mooc,59,423
7664,3,1522,1,moocDSA,mooc,59,235
15662,4,126,0,al_cpl,al_cpl,193,87
15411,4,1324,0,al_cpl,al_cpl,193,141
16107,4,712,0,al_cpl,al_cpl,193,62
16281,4,1581,0,al_cpl,al_cpl,193,270
16480,4,918,0,al_cpl,al_cpl,193,304
14748,4,115,0,al_cpl,al_cpl,193,170
15913,4,1404,1,al_cpl,al_cpl,193,365
15620,4,478,0,al_cpl,al_cpl,193,217
15037,4,693,0,al_cpl,al_cpl,193,289
11023,4,87,0,drive,drive,254,773
15998,4,1049,0,al_cpl,al_cpl,193,471
15151,4,785,0,al_cpl,al_cpl,193,494
18255,4,1159,0,al_cpl,al_cpl,193,542
16066,4,408,0,al_cpl,al_cpl,193,216
14629,4,990,0,al_cpl,al_cpl,193,381
15436,4,521,0,al_cpl,al_cpl,193,148
16239,4,1436,0,al_cpl,al_cpl,193,257
10683,4,1032,0,drive,drive,254,274
15764,4,1126,0,al_cpl,al_cpl,193,384
15354,4,1408,0,al_cpl,al_cpl,193,155
16512,4,1549,0,al_cpl,al_cpl,193,493
16198,4,1159,0,al_cpl,al_cpl,193,542
15946,4,1341,0,al_cpl,al_cpl,193,290
15876,4,312,0,al_cpl,al_cpl,193,189
15273,4,143,0,al_cpl,al_cpl,193,200
16132,4,1503,0,al_cpl,al_cpl,193,426
15262,4,579,0,al_cpl,al_cpl,193,146
17636,4,1384,0,al_cpl,al_cpl,193,15
15458,4,333,0,al_cpl,al_cpl,193,220
11160,4,172,0,drive,drive,254,792
10591,4,1555,0,drive,drive,254,668
16245,4,1079,0,al_cpl,al_cpl,193,238
15853,4,144,0,al_cpl,al_cpl,193,510
15146,4,648,0,al_cpl,al_cpl,193,261
10596,4,1260,0,drive,drive,254,669
16473,4,597,0,al_cpl,al_cpl,193,476
16111,4,1193,0,al_cpl,al_cpl,193,385
16401,4,740,0,al_cpl,al_cpl,193,150
18287,4,510,0,al_cpl,al_cpl,193,127
15911,4,87,0,al_cpl,al_cpl,193,2
16312,4,1589,0,al_cpl,al_cpl,193,186
10668,4,1361,0,drive,drive,254,275
15505,4,315,0,al_cpl,al_cpl,193,240
11059,4,135,1,drive,drive,254,779
15017,4,1258,0,al_cpl,al_cpl,193,321
14931,4,365,0,al_cpl,al_cpl,193,88
10639,4,1438,1,drive,drive,254,677
15885,4,954,0,al_cpl,al_cpl,193,110
15063,4,1152,0,al_cpl,al_cpl,193,339
15819,4,1528,0,al_cpl,al_cpl,193,229
16355,4,1146,0,al_cpl,al_cpl,193,333
14749,4,228,0,al_cpl,al_cpl,193,81
15134,4,1351,0,al_cpl,al_cpl,193,218
15966,4,908,0,al_cpl,al_cpl,193,153
15075,4,690,0,al_cpl,al_cpl,193,168
11051,4,1537,1,drive,drive,254,778
11075,4,416,0,drive,drive,254,782
16410,4,419,0,al_cpl,al_cpl,193,66
11028,4,883,0,drive,drive,254,774
15562,4,140,0,al_cpl,al_cpl,193,507
15704,4,340,0,al_cpl,al_cpl,193,334
17686,4,102,0,al_cpl,al_cpl,193,460
15600,4,1224,0,al_cpl,al_cpl,193,158
15670,4,994,0,al_cpl,al_cpl,193,198
15936,4,1525,0,al_cpl,al_cpl,193,363
15961,4,372,0,al_cpl,al_cpl,193,533
15934,4,1484,0,al_cpl,al_cpl,193,140
15852,4,187,0,al_cpl,al_cpl,193,394
15191,4,1174,0,al_cpl,al_cpl,193,246
15647,4,1445,0,al_cpl,al_cpl,193,47
14688,4,68,0,al_cpl,al_cpl,193,215
15236,4,588,0,al_cpl,al_cpl,193,539
15590,4,1540,0,al_cpl,al_cpl,193,335
10715,4,1081,0,drive,drive,254,273
15987,4,336,0,al_cpl,al_cpl,193,294
14812,4,822,0,al_cpl,al_cpl,193,219
