,conceptA,conceptB,isPrerequisite,dataset,file,conceptA_ind,conceptB_ind,fileB
0,0,10,0,al_cpl,al_cpl,491,427,al_cpl
0,0,745,0,pseudo,al_cpl,339,324,mooc
4,0,386,1,al_cpl,al_cpl,491,76,al_cpl
0,0,1093,1,pseudo,al_cpl,435,298,al_cpl
2,0,928,0,al_cpl,al_cpl,491,451,al_cpl
3,0,1574,1,al_cpl,al_cpl,491,483,al_cpl
1,0,656,1,al_cpl,al_cpl,491,438,al_cpl
5,1,1093,1,pseudo,drive,435,298,al_cpl
5,1,745,0,pseudo,drive,339,324,mooc
18,1,1365,1,drive,drive,82,464,drive
17,1,959,1,drive,drive,82,469,drive
16,1,522,1,drive,drive,82,329,drive
14,1,996,0,drive,drive,82,420,drive
15,1,1016,1,drive,drive,82,496,drive
12,1,1182,0,drive,drive,82,468,drive
11,1,1124,1,drive,drive,82,84,drive
10,1,1399,0,drive,drive,82,472,drive
9,1,80,0,drive,drive,82,483,drive
8,1,1448,0,drive,drive,82,512,drive
7,1,743,1,drive,drive,82,480,drive
6,1,791,0,drive,drive,82,478,drive
5,1,1202,0,drive,drive,82,504,drive
13,1,141,0,drive,drive,82,417,drive
28,2,799,0,moocML,mooc,272,198,mooc
30,2,966,0,moocML,mooc,272,311,mooc
29,2,369,0,moocML,mooc,272,237,mooc
27,2,503,0,moocML,mooc,272,296,mooc
19,2,1062,0,moocML,mooc,272,118,mooc
25,2,314,0,moocML,mooc,272,117,mooc
24,2,277,1,moocML,mooc,272,100,mooc
23,2,878,0,moocML,mooc,272,4,mooc
22,2,1140,0,moocML,mooc,272,49,mooc
21,2,134,0,moocML,mooc,272,51,mooc
20,2,317,0,moocML,mooc,272,147,mooc
26,2,881,0,moocML,mooc,272,275,mooc
31,3,1067,0,pseudo,mooc,326,81,mooc
31,3,1404,1,pseudo,mooc,193,365,al_cpl
34,3,1522,1,moocDSA,mooc,59,235,mooc
33,3,291,1,moocDSA,mooc,59,423,mooc
32,3,815,0,moocDSA,mooc,59,242,mooc
31,3,1023,0,moocDSA,mooc,59,391,mooc
37,4,712,0,al_cpl,al_cpl,193,62,al_cpl
97,4,1224,0,al_cpl,al_cpl,193,158,al_cpl
96,4,102,0,al_cpl,al_cpl,193,460,al_cpl
95,4,340,0,al_cpl,al_cpl,193,334,al_cpl
94,4,140,0,al_cpl,al_cpl,193,507,al_cpl
93,4,883,0,drive,drive,254,774,drive
92,4,419,0,al_cpl,al_cpl,193,66,al_cpl
91,4,416,0,drive,drive,254,782,drive
90,4,1537,1,drive,drive,254,778,drive
35,4,369,0,pseudo,al_cpl,272,237,mooc
98,4,994,0,al_cpl,al_cpl,193,198,al_cpl
87,4,1351,0,al_cpl,al_cpl,193,218,al_cpl
86,4,228,0,al_cpl,al_cpl,193,81,al_cpl
85,4,1146,0,al_cpl,al_cpl,193,333,al_cpl
84,4,1528,0,al_cpl,al_cpl,193,229,al_cpl
83,4,1152,0,al_cpl,al_cpl,193,339,al_cpl
82,4,954,0,al_cpl,al_cpl,193,110,al_cpl
89,4,690,0,al_cpl,al_cpl,193,168,al_cpl
99,4,1525,0,al_cpl,al_cpl,193,363,al_cpl
101,4,1484,0,al_cpl,al_cpl,193,140,al_cpl
81,4,1438,1,drive,drive,254,677,drive
35,4,126,0,al_cpl,al_cpl,193,87,al_cpl
36,4,1324,0,al_cpl,al_cpl,193,141,al_cpl
35,4,1093,1,pseudo,al_cpl,435,298,al_cpl
114,4,733,0,al_cpl,al_cpl,193,373,al_cpl
113,4,96,0,drive,drive,254,251,drive
112,4,971,1,drive,drive,254,777,drive
111,4,411,0,al_cpl,al_cpl,193,266,al_cpl
100,4,372,0,al_cpl,al_cpl,193,533,al_cpl
110,4,822,0,al_cpl,al_cpl,193,219,al_cpl
108,4,1081,0,drive,drive,254,273,drive
107,4,1540,0,al_cpl,al_cpl,193,335,al_cpl
106,4,588,0,al_cpl,al_cpl,193,539,al_cpl
105,4,68,0,al_cpl,al_cpl,193,215,al_cpl
104,4,1445,0,al_cpl,al_cpl,193,47,al_cpl
103,4,1174,0,al_cpl,al_cpl,193,246,al_cpl
102,4,187,0,al_cpl,al_cpl,193,394,al_cpl
109,4,336,0,al_cpl,al_cpl,193,294,al_cpl
80,4,365,0,al_cpl,al_cpl,193,88,al_cpl
88,4,908,0,al_cpl,al_cpl,193,153,al_cpl
78,4,135,1,drive,drive,254,779,drive
55,4,1549,0,al_cpl,al_cpl,193,493,al_cpl
54,4,1408,0,al_cpl,al_cpl,193,155,al_cpl
53,4,1126,0,al_cpl,al_cpl,193,384,al_cpl
52,4,1032,0,drive,drive,254,274,drive
51,4,1436,0,al_cpl,al_cpl,193,257,al_cpl
50,4,521,0,al_cpl,al_cpl,193,148,al_cpl
79,4,1258,0,al_cpl,al_cpl,193,321,al_cpl
48,4,408,0,al_cpl,al_cpl,193,216,al_cpl
56,4,1159,0,al_cpl,al_cpl,193,542,al_cpl
47,4,1159,0,al_cpl,al_cpl,193,542,al_cpl
45,4,1049,0,al_cpl,al_cpl,193,471,al_cpl
44,4,87,0,drive,drive,254,773,drive
43,4,693,0,al_cpl,al_cpl,193,289,al_cpl
42,4,478,0,al_cpl,al_cpl,193,217,al_cpl
41,4,1404,1,al_cpl,al_cpl,193,365,al_cpl
40,4,115,0,al_cpl,al_cpl,193,170,al_cpl
39,4,918,0,al_cpl,al_cpl,193,304,al_cpl
38,4,1581,0,al_cpl,al_cpl,193,270,al_cpl
46,4,785,0,al_cpl,al_cpl,193,494,al_cpl
57,4,1341,0,al_cpl,al_cpl,193,290,al_cpl
49,4,990,0,al_cpl,al_cpl,193,381,al_cpl
59,4,143,0,al_cpl,al_cpl,193,200,al_cpl
72,4,740,0,al_cpl,al_cpl,193,150,al_cpl
73,4,510,0,al_cpl,al_cpl,193,127,al_cpl
74,4,87,0,al_cpl,al_cpl,193,2,al_cpl
75,4,1589,0,al_cpl,al_cpl,193,186,al_cpl
76,4,1361,0,drive,drive,254,275,drive
77,4,315,0,al_cpl,al_cpl,193,240,al_cpl
70,4,597,0,al_cpl,al_cpl,193,476,al_cpl
69,4,1260,0,drive,drive,254,669,drive
68,4,648,0,al_cpl,al_cpl,193,261,al_cpl
67,4,144,0,al_cpl,al_cpl,193,510,al_cpl
66,4,1079,0,al_cpl,al_cpl,193,238,al_cpl
65,4,1555,0,drive,drive,254,668,drive
64,4,172,0,drive,drive,254,792,drive
63,4,333,0,al_cpl,al_cpl,193,220,al_cpl
62,4,1384,0,al_cpl,al_cpl,193,15,al_cpl
61,4,579,0,al_cpl,al_cpl,193,146,al_cpl
60,4,1503,0,al_cpl,al_cpl,193,426,al_cpl
58,4,312,0,al_cpl,al_cpl,193,189,al_cpl
71,4,1193,0,al_cpl,al_cpl,193,385,al_cpl
121,5,1489,0,moocDSA,mooc,86,400,mooc
122,5,345,1,moocDSA,mooc,86,192,mooc
120,5,1522,0,moocDSA,mooc,86,235,mooc
119,5,251,0,moocDSA,mooc,86,23,mooc
118,5,1563,1,moocDSA,mooc,86,433,mooc
117,5,19,1,moocDSA,mooc,86,365,mooc
116,5,1206,1,moocDSA,mooc,86,122,mooc
115,5,848,0,moocDSA,mooc,86,386,mooc
124,6,980,0,al_cpl,al_cpl,303,375,al_cpl
125,6,1494,0,al_cpl,al_cpl,303,309,al_cpl
126,6,660,1,al_cpl,al_cpl,303,272,al_cpl
127,6,1277,0,al_cpl,al_cpl,303,315,al_cpl
128,6,386,0,al_cpl,al_cpl,303,76,al_cpl
129,6,1167,0,al_cpl,al_cpl,303,173,al_cpl
130,6,879,1,al_cpl,al_cpl,303,74,al_cpl
123,6,1003,1,al_cpl,al_cpl,303,73,al_cpl
131,7,745,0,pseudo,drive,339,324,mooc
131,7,1093,1,pseudo,drive,435,298,al_cpl
132,7,409,1,drive,drive,132,115,drive
131,7,150,1,drive,drive,132,534,drive
135,8,1513,1,moocDSA,mooc,151,342,mooc
134,8,1490,1,moocDSA,mooc,151,223,mooc
133,8,923,0,moocDSA,mooc,151,419,mooc
136,8,1291,1,moocDSA,mooc,151,290,mooc
141,9,1364,0,al_cpl,al_cpl,427,486,al_cpl
138,9,469,0,al_cpl,al_cpl,427,500,al_cpl
139,9,840,0,al_cpl,al_cpl,427,267,al_cpl
140,9,273,0,al_cpl,al_cpl,427,281,al_cpl
137,9,1510,0,al_cpl,al_cpl,427,408,al_cpl
148,9,876,0,al_cpl,al_cpl,427,27,al_cpl
147,9,119,0,al_cpl,al_cpl,427,388,al_cpl
146,9,786,0,al_cpl,al_cpl,427,492,al_cpl
145,9,980,0,al_cpl,al_cpl,427,375,al_cpl
144,9,802,1,al_cpl,al_cpl,427,26,al_cpl
143,9,641,0,al_cpl,al_cpl,427,101,al_cpl
142,9,660,0,al_cpl,al_cpl,427,272,al_cpl
152,10,916,0,moocDSA,mooc,323,435,mooc
150,10,19,0,moocDSA,mooc,323,365,mooc
154,10,445,0,moocDSA,mooc,323,93,mooc
149,10,887,0,moocDSA,mooc,323,360,mooc
151,10,717,1,moocDSA,mooc,323,249,mooc
153,10,214,1,moocDSA,mooc,323,281,mooc
155,11,745,0,pseudo,drive,339,324,mooc
156,11,967,1,drive,drive,205,204,drive
