conceptA,conceptB,isPrerequisite,dataset,file,conceptA_ind,conceptB_ind,fileB
0,10,0,al_cpl,al_cpl,491,427,al_cpl
0,369,0,pseudo,al_cpl,272,237,mooc
0,386,1,al_cpl,al_cpl,491,76,al_cpl
0,1093,1,pseudo,al_cpl,435,298,al_cpl
0,928,0,al_cpl,al_cpl,491,451,al_cpl
0,1574,1,al_cpl,al_cpl,491,483,al_cpl
0,656,1,al_cpl,al_cpl,491,438,al_cpl
1,1404,1,pseudo,drive,193,365,al_cpl
1,369,0,pseudo,drive,272,237,mooc
1,1365,1,drive,drive,82,464,drive
1,959,1,drive,drive,82,469,drive
1,522,1,drive,drive,82,329,drive
1,996,0,drive,drive,82,420,drive
1,1016,1,drive,drive,82,496,drive
1,1182,0,drive,drive,82,468,drive
1,1124,1,drive,drive,82,84,drive
1,1399,0,drive,drive,82,472,drive
1,80,0,drive,drive,82,483,drive
1,1448,0,drive,drive,82,512,drive
1,743,1,drive,drive,82,480,drive
1,791,0,drive,drive,82,478,drive
1,1202,0,drive,drive,82,504,drive
1,141,0,drive,drive,82,417,drive
2,799,0,moocML,mooc,272,198,mooc
2,966,0,moocML,mooc,272,311,mooc
2,369,0,moocML,mooc,272,237,mooc
2,503,0,moocML,mooc,272,296,mooc
2,1062,0,moocML,mooc,272,118,mooc
2,314,0,moocML,mooc,272,117,mooc
2,277,1,moocML,mooc,272,100,mooc
2,878,0,moocML,mooc,272,4,mooc
2,1140,0,moocML,mooc,272,49,mooc
2,134,0,moocML,mooc,272,51,mooc
2,317,0,moocML,mooc,272,147,mooc
2,881,0,moocML,mooc,272,275,mooc
3,1067,0,pseudo,mooc,326,81,mooc
3,1033,1,pseudo,mooc,98,99,al_cpl
3,1522,1,moocDSA,mooc,59,235,mooc
3,291,1,moocDSA,mooc,59,423,mooc
3,815,0,moocDSA,mooc,59,242,mooc
3,1023,0,moocDSA,mooc,59,391,mooc
4,712,0,al_cpl,al_cpl,193,62,al_cpl
4,1224,0,al_cpl,al_cpl,193,158,al_cpl
4,102,0,al_cpl,al_cpl,193,460,al_cpl
4,340,0,al_cpl,al_cpl,193,334,al_cpl
4,140,0,al_cpl,al_cpl,193,507,al_cpl
4,883,0,drive,drive,254,774,drive
4,419,0,al_cpl,al_cpl,193,66,al_cpl
4,416,0,drive,drive,254,782,drive
4,1537,1,drive,drive,254,778,drive
4,369,0,pseudo,al_cpl,272,237,mooc
4,994,0,al_cpl,al_cpl,193,198,al_cpl
4,1351,0,al_cpl,al_cpl,193,218,al_cpl
4,228,0,al_cpl,al_cpl,193,81,al_cpl
4,1146,0,al_cpl,al_cpl,193,333,al_cpl
4,1528,0,al_cpl,al_cpl,193,229,al_cpl
4,1152,0,al_cpl,al_cpl,193,339,al_cpl
4,954,0,al_cpl,al_cpl,193,110,al_cpl
4,690,0,al_cpl,al_cpl,193,168,al_cpl
4,1525,0,al_cpl,al_cpl,193,363,al_cpl
4,1484,0,al_cpl,al_cpl,193,140,al_cpl
4,1438,1,drive,drive,254,677,drive
4,126,0,al_cpl,al_cpl,193,87,al_cpl
4,1324,0,al_cpl,al_cpl,193,141,al_cpl
4,1093,1,pseudo,al_cpl,435,298,al_cpl
4,733,0,al_cpl,al_cpl,193,373,al_cpl
4,96,0,drive,drive,254,251,drive
4,971,1,drive,drive,254,777,drive
4,411,0,al_cpl,al_cpl,193,266,al_cpl
4,372,0,al_cpl,al_cpl,193,533,al_cpl
4,822,0,al_cpl,al_cpl,193,219,al_cpl
4,1081,0,drive,drive,254,273,drive
4,1540,0,al_cpl,al_cpl,193,335,al_cpl
4,588,0,al_cpl,al_cpl,193,539,al_cpl
4,68,0,al_cpl,al_cpl,193,215,al_cpl
4,1445,0,al_cpl,al_cpl,193,47,al_cpl
4,1174,0,al_cpl,al_cpl,193,246,al_cpl
4,187,0,al_cpl,al_cpl,193,394,al_cpl
4,336,0,al_cpl,al_cpl,193,294,al_cpl
4,365,0,al_cpl,al_cpl,193,88,al_cpl
4,908,0,al_cpl,al_cpl,193,153,al_cpl
4,135,1,drive,drive,254,779,drive
4,1549,0,al_cpl,al_cpl,193,493,al_cpl
4,1408,0,al_cpl,al_cpl,193,155,al_cpl
4,1126,0,al_cpl,al_cpl,193,384,al_cpl
4,1032,0,drive,drive,254,274,drive
4,1436,0,al_cpl,al_cpl,193,257,al_cpl
4,521,0,al_cpl,al_cpl,193,148,al_cpl
4,1258,0,al_cpl,al_cpl,193,321,al_cpl
4,408,0,al_cpl,al_cpl,193,216,al_cpl
4,1159,0,al_cpl,al_cpl,193,542,al_cpl
4,1159,0,al_cpl,al_cpl,193,542,al_cpl
4,1049,0,al_cpl,al_cpl,193,471,al_cpl
4,87,0,drive,drive,254,773,drive
4,693,0,al_cpl,al_cpl,193,289,al_cpl
4,478,0,al_cpl,al_cpl,193,217,al_cpl
4,1404,1,al_cpl,al_cpl,193,365,al_cpl
4,115,0,al_cpl,al_cpl,193,170,al_cpl
4,918,0,al_cpl,al_cpl,193,304,al_cpl
4,1581,0,al_cpl,al_cpl,193,270,al_cpl
4,785,0,al_cpl,al_cpl,193,494,al_cpl
4,1341,0,al_cpl,al_cpl,193,290,al_cpl
4,990,0,al_cpl,al_cpl,193,381,al_cpl
4,143,0,al_cpl,al_cpl,193,200,al_cpl
4,740,0,al_cpl,al_cpl,193,150,al_cpl
4,510,0,al_cpl,al_cpl,193,127,al_cpl
4,87,0,al_cpl,al_cpl,193,2,al_cpl
4,1589,0,al_cpl,al_cpl,193,186,al_cpl
4,1361,0,drive,drive,254,275,drive
4,315,0,al_cpl,al_cpl,193,240,al_cpl
4,597,0,al_cpl,al_cpl,193,476,al_cpl
4,1260,0,drive,drive,254,669,drive
4,648,0,al_cpl,al_cpl,193,261,al_cpl
4,144,0,al_cpl,al_cpl,193,510,al_cpl
4,1079,0,al_cpl,al_cpl,193,238,al_cpl
4,1555,0,drive,drive,254,668,drive
4,172,0,drive,drive,254,792,drive
4,333,0,al_cpl,al_cpl,193,220,al_cpl
4,1384,0,al_cpl,al_cpl,193,15,al_cpl
4,579,0,al_cpl,al_cpl,193,146,al_cpl
4,1503,0,al_cpl,al_cpl,193,426,al_cpl
4,312,0,al_cpl,al_cpl,193,189,al_cpl
4,1193,0,al_cpl,al_cpl,193,385,al_cpl
5,1489,0,moocDSA,mooc,86,400,mooc
5,345,1,moocDSA,mooc,86,192,mooc
5,1522,0,moocDSA,mooc,86,235,mooc
5,251,0,moocDSA,mooc,86,23,mooc
5,1563,1,moocDSA,mooc,86,433,mooc
5,19,1,moocDSA,mooc,86,365,mooc
5,1206,1,moocDSA,mooc,86,122,mooc
5,848,0,moocDSA,mooc,86,386,mooc
6,980,0,al_cpl,al_cpl,303,375,al_cpl
6,1494,0,al_cpl,al_cpl,303,309,al_cpl
6,660,1,al_cpl,al_cpl,303,272,al_cpl
6,1277,0,al_cpl,al_cpl,303,315,al_cpl
6,386,0,al_cpl,al_cpl,303,76,al_cpl
6,1167,0,al_cpl,al_cpl,303,173,al_cpl
6,879,1,al_cpl,al_cpl,303,74,al_cpl
6,1003,1,al_cpl,al_cpl,303,73,al_cpl
7,745,0,pseudo,drive,339,324,mooc
7,1093,1,pseudo,drive,435,298,al_cpl
7,409,1,drive,drive,132,115,drive
7,150,1,drive,drive,132,534,drive
8,1513,1,moocDSA,mooc,151,342,mooc
8,1490,1,moocDSA,mooc,151,223,mooc
8,923,0,moocDSA,mooc,151,419,mooc
8,1291,1,moocDSA,mooc,151,290,mooc
9,1364,0,al_cpl,al_cpl,427,486,al_cpl
9,469,0,al_cpl,al_cpl,427,500,al_cpl
9,840,0,al_cpl,al_cpl,427,267,al_cpl
9,273,0,al_cpl,al_cpl,427,281,al_cpl
9,1510,0,al_cpl,al_cpl,427,408,al_cpl
9,876,0,al_cpl,al_cpl,427,27,al_cpl
9,119,0,al_cpl,al_cpl,427,388,al_cpl
9,786,0,al_cpl,al_cpl,427,492,al_cpl
9,980,0,al_cpl,al_cpl,427,375,al_cpl
9,802,1,al_cpl,al_cpl,427,26,al_cpl
9,641,0,al_cpl,al_cpl,427,101,al_cpl
9,660,0,al_cpl,al_cpl,427,272,al_cpl
10,916,0,moocDSA,mooc,323,435,mooc
10,19,0,moocDSA,mooc,323,365,mooc
10,445,0,moocDSA,mooc,323,93,mooc
10,887,0,moocDSA,mooc,323,360,mooc
10,717,1,moocDSA,mooc,323,249,mooc
10,214,1,moocDSA,mooc,323,281,mooc
11,369,0,pseudo,drive,272,237,mooc
11,967,1,drive,drive,205,204,drive
11,1028,1,drive,drive,205,33,drive
11,1244,0,drive,drive,205,583,drive
11,1404,1,pseudo,drive,193,365,al_cpl
12,369,0,pseudo,al_cpl,272,237,mooc
12,745,0,pseudo,al_cpl,339,324,mooc
12,1545,1,pseudo,al_cpl,223,368,al_cpl
12,1093,1,pseudo,al_cpl,435,298,al_cpl
12,884,0,al_cpl,al_cpl,511,475,al_cpl
12,1125,1,al_cpl,al_cpl,511,271,al_cpl
12,260,1,al_cpl,al_cpl,511,19,al_cpl
12,588,1,al_cpl,al_cpl,511,539,al_cpl
12,995,1,al_cpl,al_cpl,511,425,al_cpl
12,285,0,al_cpl,al_cpl,511,415,al_cpl
12,1503,0,al_cpl,al_cpl,511,426,al_cpl
12,1570,1,al_cpl,al_cpl,511,422,al_cpl
12,1404,1,al_cpl,al_cpl,511,365,al_cpl
12,936,0,al_cpl,al_cpl,511,467,al_cpl
12,200,0,al_cpl,al_cpl,511,209,al_cpl
13,1031,0,drive,drive,161,548,drive
13,1405,0,drive,drive,161,279,drive
13,1305,0,drive,drive,161,555,drive
13,720,0,drive,drive,161,554,drive
14,283,0,moocML,mooc,308,88,mooc
14,446,0,moocML,mooc,308,364,mooc
14,181,1,moocML,mooc,308,53,mooc
14,688,0,moocML,mooc,308,236,mooc
14,592,0,moocML,mooc,308,148,mooc
14,1063,1,moocML,mooc,308,18,mooc
14,944,0,moocML,mooc,308,409,mooc
14,134,0,moocML,mooc,308,51,mooc
14,1055,0,moocML,mooc,308,41,mooc
14,628,0,moocML,mooc,308,30,mooc
14,981,0,moocML,mooc,308,96,mooc
14,1422,0,moocML,mooc,308,42,mooc
14,263,0,moocML,mooc,308,396,mooc
14,662,0,moocML,mooc,308,80,mooc
14,633,0,moocML,mooc,308,352,mooc
14,454,0,moocML,mooc,308,250,mooc
15,745,0,pseudo,al_cpl,339,324,mooc
15,405,0,al_cpl,al_cpl,327,190,al_cpl
15,1404,1,pseudo,al_cpl,193,365,al_cpl
15,542,1,al_cpl,al_cpl,327,206,al_cpl
15,1597,1,al_cpl,al_cpl,327,331,al_cpl
16,1437,0,moocML,mooc,256,214,mooc
16,231,0,moocML,mooc,256,328,mooc
16,814,1,moocML,mooc,256,366,mooc
16,1274,0,moocML,mooc,256,301,mooc
16,432,0,moocML,mooc,256,17,mooc
16,547,0,moocML,mooc,256,75,mooc
16,1360,0,moocML,mooc,256,310,mooc
16,602,0,moocML,mooc,256,377,mooc
16,1209,0,moocML,mooc,256,424,mooc
16,1141,0,moocML,mooc,256,239,mooc
16,1205,0,moocML,mooc,256,430,mooc
16,754,0,moocML,mooc,256,238,mooc
16,493,0,moocML,mooc,256,142,mooc
16,1039,0,moocML,mooc,256,38,mooc
16,18,0,moocML,mooc,256,32,mooc
16,404,0,moocML,mooc,256,35,mooc
16,616,0,moocML,mooc,256,28,mooc
16,429,0,moocML,mooc,256,16,mooc
16,503,0,moocML,mooc,256,296,mooc
16,961,0,moocML,mooc,256,102,mooc
16,662,0,moocML,mooc,256,80,mooc
16,1483,0,moocML,mooc,256,2,mooc
16,426,0,moocML,mooc,256,429,mooc
16,986,0,moocML,mooc,256,287,mooc
16,944,0,moocML,mooc,256,409,mooc
16,943,0,moocML,mooc,256,144,mooc
16,1133,0,moocML,mooc,256,112,mooc
16,455,0,moocML,mooc,256,285,mooc
16,369,0,moocML,mooc,256,237,mooc
16,283,0,moocML,mooc,256,88,mooc
16,299,0,moocML,mooc,256,7,mooc
16,442,0,moocML,mooc,256,357,mooc
16,317,0,moocML,mooc,256,147,mooc
17,1062,0,moocML,mooc,32,118,mooc
17,881,0,moocML,mooc,32,275,mooc
17,299,0,moocML,mooc,32,7,mooc
17,900,1,moocML,mooc,32,277,mooc
17,843,0,moocML,mooc,32,130,mooc
17,1533,0,moocML,mooc,32,273,mooc
18,1593,0,drive,drive,189,196,drive
18,313,0,drive,drive,189,569,drive
19,1334,1,moocDSA,mooc,365,119,mooc
19,887,0,moocDSA,mooc,365,360,mooc
19,1175,0,moocDSA,mooc,365,333,mooc
20,966,0,pseudo,mooc,272,311,mooc
20,603,0,pseudo,mooc,401,107,mooc
20,1338,1,pseudo,mooc,378,374,al_cpl
20,1093,1,pseudo,mooc,435,298,al_cpl
20,1404,1,pseudo,mooc,193,365,al_cpl
20,700,0,pseudo,mooc,185,289,mooc
20,601,0,moocML,mooc,339,197,mooc
20,156,0,moocML,mooc,339,191,mooc
20,1257,0,moocML,mooc,339,45,mooc
20,1133,0,moocML,mooc,339,112,mooc
20,93,1,moocML,mooc,339,381,mooc
20,745,0,moocML,mooc,339,324,mooc
20,878,0,moocML,mooc,339,4,mooc
20,1230,0,moocML,mooc,339,36,mooc
20,134,0,moocML,mooc,339,51,mooc
20,944,0,moocML,mooc,339,409,mooc
20,1205,1,moocML,mooc,339,430,mooc
20,244,0,moocML,mooc,339,385,mooc
20,646,0,moocML,mooc,339,91,mooc
20,1062,0,moocML,mooc,339,118,mooc
20,688,0,moocML,mooc,339,236,mooc
20,852,0,moocML,mooc,339,48,mooc
20,630,1,moocML,mooc,339,269,mooc
20,1218,0,moocML,mooc,339,241,mooc
20,1105,1,moocML,mooc,339,52,mooc
20,943,1,moocML,mooc,339,144,mooc
20,561,0,moocML,mooc,339,218,mooc
20,186,1,moocML,mooc,339,183,mooc
20,36,0,moocML,mooc,339,244,mooc
20,463,0,moocML,mooc,339,8,mooc
20,503,0,moocML,mooc,339,296,mooc
21,208,1,pseudo,al_cpl,280,8,al_cpl
21,603,0,pseudo,al_cpl,401,107,mooc
