,conceptA,conceptB,isPrerequisite,dataset,file,conceptA_ind,conceptB_ind
0,1076,1562,1,moocML,mooc,128,160
1,1347,855,1,moocML,mooc,160,417
2,1347,516,0,moocML,mooc,160,101
3,1347,1274,0,moocML,mooc,160,301
4,1347,443,0,moocML,mooc,160,120
5,1347,1526,0,moocML,mooc,160,415
6,1347,1153,0,moocML,mooc,160,132
7,1347,846,1,moocML,mooc,160,294
8,1347,199,0,moocML,mooc,160,298
9,1333,1562,1,moocML,mooc,347,160
10,749,1562,1,moocML,mooc,314,160
11,1347,283,0,moocML,mooc,160,88
12,1347,1422,0,moocML,mooc,160,42
13,1347,1536,0,moocML,mooc,160,350
14,1347,1488,0,moocML,mooc,160,213
15,1347,547,0,moocML,mooc,160,75
16,1347,442,0,moocML,mooc,160,357
17,1347,662,0,moocML,mooc,160,80
18,697,1562,1,moocML,mooc,227,160
19,1347,404,0,moocML,mooc,160,35
20,1347,944,0,moocML,mooc,160,409
21,1347,1172,0,moocML,mooc,160,136
22,1347,882,0,moocML,mooc,160,224
23,1347,1140,0,moocML,mooc,160,49
24,914,1562,1,moocML,mooc,18,160
25,1347,973,0,moocML,mooc,160,382
26,1347,616,0,moocML,mooc,160,28
27,1347,843,0,moocML,mooc,160,130
28,1347,1097,0,moocML,mooc,160,363
29,1347,493,0,moocML,mooc,160,142
30,1347,337,0,moocML,mooc,160,304
31,1347,369,0,moocML,mooc,160,237
32,1347,263,0,moocML,mooc,160,396
33,1347,981,0,moocML,mooc,160,96
34,1347,1067,0,moocML,mooc,160,81
35,1347,799,0,moocML,mooc,160,198
36,1347,509,0,moocML,mooc,160,383
37,1347,966,0,moocML,mooc,160,311
38,1347,1075,0,moocML,mooc,160,312
39,1347,878,0,moocML,mooc,160,4
40,129,1562,1,moocML,mooc,371,160
41,1347,561,0,moocML,mooc,160,218
42,1347,1533,0,moocML,mooc,160,273
43,1347,124,0,moocML,mooc,160,397
44,1347,1259,0,moocML,mooc,160,353
45,1347,603,0,moocML,mooc,160,107
46,1347,1062,0,moocML,mooc,160,118
47,1347,317,0,moocML,mooc,160,147
48,1347,134,0,moocML,mooc,160,51
49,1347,622,0,moocML,mooc,160,267
50,1076,855,1,moocML,mooc,128,417
51,1076,516,0,moocML,mooc,128,101
52,1076,1274,0,moocML,mooc,128,301
53,1076,443,0,moocML,mooc,128,120
54,1076,1526,0,moocML,mooc,128,415
55,1076,1153,0,moocML,mooc,128,132
56,1076,846,1,moocML,mooc,128,294
57,1076,199,0,moocML,mooc,128,298
58,1333,1243,1,moocML,mooc,347,128
59,749,1243,1,moocML,mooc,314,128
60,1076,283,0,moocML,mooc,128,88
61,1076,1536,0,moocML,mooc,128,350
62,1076,1488,0,moocML,mooc,128,213
63,1076,547,0,moocML,mooc,128,75
64,1076,662,0,moocML,mooc,128,80
65,1076,830,0,moocML,mooc,128,227
66,1076,404,0,moocML,mooc,128,35
67,1076,944,0,moocML,mooc,128,409
68,1076,1172,0,moocML,mooc,128,136
69,914,1243,1,moocML,mooc,18,128
70,1076,973,0,moocML,mooc,128,382
71,1076,616,0,moocML,mooc,128,28
72,1076,1097,0,moocML,mooc,128,363
73,1076,369,0,moocML,mooc,128,237
74,1076,263,0,moocML,mooc,128,396
75,1076,981,0,moocML,mooc,128,96
76,1076,799,0,moocML,mooc,128,198
77,1076,509,0,moocML,mooc,128,383
78,1076,1075,0,moocML,mooc,128,312
79,1076,878,0,moocML,mooc,128,4
80,1076,165,0,moocML,mooc,128,371
81,1076,561,0,moocML,mooc,128,218
82,1076,1062,0,moocML,mooc,128,118
83,1076,317,0,moocML,mooc,128,147
84,1076,622,0,moocML,mooc,128,267
85,844,749,1,moocML,mooc,345,405
86,632,592,0,moocML,mooc,405,148
87,632,1339,0,moocML,mooc,405,232
88,632,1586,0,moocML,mooc,405,27
89,632,653,0,moocML,mooc,405,209
90,632,339,0,moocML,mooc,405,200
91,632,454,0,moocML,mooc,405,250
92,632,162,0,moocML,mooc,405,69
93,632,779,0,moocML,mooc,405,180
94,632,283,0,moocML,mooc,405,88
95,466,749,1,moocML,mooc,75,405
96,632,944,0,moocML,mooc,405,409
97,427,749,1,moocML,mooc,296,405
98,636,749,1,moocML,mooc,238,405
99,978,749,1,moocML,mooc,49,405
100,632,843,0,moocML,mooc,405,130
101,823,749,1,moocML,mooc,311,405
102,632,520,0,moocML,mooc,405,149
103,913,749,1,moocML,mooc,118,405
104,584,749,1,moocML,mooc,236,405
105,923,749,1,moocML,mooc,105,405
106,632,646,0,moocML,mooc,405,91
107,234,1304,1,moocML,mooc,157,402
108,479,1304,1,moocML,mooc,389,402
109,1121,1274,0,moocML,mooc,402,301
110,1369,1304,1,moocML,mooc,27,402
111,1121,241,0,moocML,mooc,402,270
112,1164,1304,1,moocML,mooc,12,402
113,682,1304,1,moocML,mooc,366,402
114,1121,1360,0,moocML,mooc,402,310
115,1121,455,0,moocML,mooc,402,285
116,399,710,1,moocML,mooc,351,278
117,399,633,0,moocML,mooc,351,352
118,399,281,0,moocML,mooc,351,157
119,399,1274,0,moocML,mooc,351,301
120,399,401,0,moocML,mooc,351,56
121,399,963,0,moocML,mooc,351,404
122,1369,470,1,moocML,mooc,27,351
123,399,895,0,moocML,mooc,351,422
124,399,361,0,moocML,mooc,351,266
125,399,692,0,moocML,mooc,351,131
126,399,628,0,moocML,mooc,351,30
127,399,632,0,moocML,mooc,351,230
128,399,1153,0,moocML,mooc,351,132
129,399,943,0,moocML,mooc,351,144
130,399,283,0,moocML,mooc,351,88
131,972,470,1,moocML,mooc,112,351
132,399,547,0,moocML,mooc,351,75
133,399,442,0,moocML,mooc,351,357
134,399,503,0,moocML,mooc,351,296
135,399,157,0,moocML,mooc,351,395
136,399,961,0,moocML,mooc,351,102
137,399,1294,0,moocML,mooc,351,64
138,399,1533,0,moocML,mooc,351,273
139,399,745,0,moocML,mooc,351,324
140,399,603,0,moocML,mooc,351,107
141,913,470,1,moocML,mooc,118,351
142,269,470,1,moocML,mooc,147,351
143,399,874,0,moocML,mooc,351,145
144,399,1055,0,moocML,mooc,351,41
145,399,1214,0,moocML,mooc,351,181
146,399,134,0,moocML,mooc,351,51
147,599,865,0,moocML,mooc,278,368
148,599,633,0,moocML,mooc,278,352
149,599,281,0,moocML,mooc,278,157
150,599,1274,0,moocML,mooc,278,301
151,599,1339,0,moocML,mooc,278,232
152,599,1205,0,moocML,mooc,278,430
153,599,401,0,moocML,mooc,278,56
154,599,963,0,moocML,mooc,278,404
155,1369,710,1,moocML,mooc,27,278
156,599,1197,0,moocML,mooc,278,421
157,599,895,0,moocML,mooc,278,422
158,599,361,0,moocML,mooc,278,266
159,599,692,0,moocML,mooc,278,131
160,599,628,0,moocML,mooc,278,30
161,599,632,0,moocML,mooc,278,230
162,599,1153,0,moocML,mooc,278,132
163,599,943,0,moocML,mooc,278,144
164,599,330,0,moocML,mooc,278,186
165,599,1349,0,moocML,mooc,278,12
166,599,779,0,moocML,mooc,278,180
167,599,283,0,moocML,mooc,278,88
168,599,20,0,moocML,mooc,278,339
169,599,814,0,moocML,mooc,278,366
170,972,710,1,moocML,mooc,112,278
171,599,439,0,moocML,mooc,278,182
172,466,710,1,moocML,mooc,75,278
173,374,710,1,moocML,mooc,357,278
174,906,710,1,moocML,mooc,292,278
175,599,1235,0,moocML,mooc,278,199
176,599,662,0,moocML,mooc,278,80
177,599,404,0,moocML,mooc,278,35
178,427,710,1,moocML,mooc,296,278
179,636,710,1,moocML,mooc,238,278
180,220,710,1,moocML,mooc,309,278
181,599,277,0,moocML,mooc,278,100
182,599,429,0,moocML,mooc,278,16
183,599,186,0,moocML,mooc,278,183
184,599,113,0,moocML,mooc,278,125
185,978,710,1,moocML,mooc,49,278
186,599,1063,0,moocML,mooc,278,18
187,121,710,1,moocML,mooc,395,278
188,599,616,0,moocML,mooc,278,28
189,599,961,0,moocML,mooc,278,102
190,823,710,1,moocML,mooc,311,278
191,641,710,1,moocML,mooc,47,278
192,599,117,0,moocML,mooc,278,376
193,599,36,0,moocML,mooc,278,244
194,599,1271,0,moocML,mooc,278,216
195,599,878,0,moocML,mooc,278,4
196,599,1294,0,moocML,mooc,278,64
197,1321,710,1,moocML,mooc,273,278
198,599,1435,0,moocML,mooc,278,307
199,599,745,0,moocML,mooc,278,324
200,599,603,0,moocML,mooc,278,107
201,913,710,1,moocML,mooc,118,278
202,269,710,1,moocML,mooc,147,278
203,599,874,0,moocML,mooc,278,145
204,599,1055,0,moocML,mooc,278,41
205,1050,710,1,moocML,mooc,181,278
206,599,134,0,moocML,mooc,278,51
207,599,95,0,moocML,mooc,278,431
208,438,855,1,moocML,mooc,101,417
209,204,855,1,moocML,mooc,185,417
210,1096,855,1,moocML,mooc,301,417
211,375,855,1,moocML,mooc,120,417
212,1314,855,1,moocML,mooc,415,417
213,712,855,1,moocML,mooc,294,417
214,980,855,1,moocML,mooc,239,417
215,718,1330,0,moocML,mooc,417,233
216,164,855,1,moocML,mooc,298,417
217,1333,855,1,moocML,mooc,347,417
218,749,855,1,moocML,mooc,314,417
219,718,283,0,moocML,mooc,417,88
220,1226,855,1,moocML,mooc,42,417
221,1323,855,1,moocML,mooc,350,417
222,1280,855,1,moocML,mooc,213,417
223,466,855,1,moocML,mooc,75,417
224,48,855,1,moocML,mooc,401,417
225,563,855,1,moocML,mooc,80,417
226,1204,855,1,moocML,mooc,170,417
227,1240,855,1,moocML,mooc,214,417
228,697,855,1,moocML,mooc,227,417
229,342,855,1,moocML,mooc,35,417
230,803,855,1,moocML,mooc,409,417
231,145,855,1,moocML,mooc,53,417
232,914,855,1,moocML,mooc,18,417
233,718,437,1,moocML,mooc,417,173
234,523,855,1,moocML,mooc,28,417
235,945,855,1,moocML,mooc,363,417
236,718,369,0,moocML,mooc,417,237
237,221,855,1,moocML,mooc,396,417
238,835,855,1,moocML,mooc,96,417
239,918,855,1,moocML,mooc,81,417
240,667,855,1,moocML,mooc,198,417
241,718,878,0,moocML,mooc,417,4
242,478,855,1,moocML,mooc,218,417
243,913,855,1,moocML,mooc,118,417
244,269,855,1,moocML,mooc,147,417
245,728,563,1,moocML,mooc,368,387
246,480,281,0,moocML,mooc,387,157
247,480,1274,0,moocML,mooc,387,301
248,480,476,0,moocML,mooc,387,55
249,480,1586,0,moocML,mooc,387,27
250,375,563,1,moocML,mooc,120,387
251,480,1526,0,moocML,mooc,387,415
252,322,563,1,moocML,mooc,171,387
253,980,563,1,moocML,mooc,239,387
254,164,563,1,moocML,mooc,298,387
255,1226,563,1,moocML,mooc,42,387
256,933,563,1,moocML,mooc,406,387
257,480,439,0,moocML,mooc,387,182
258,466,563,1,moocML,mooc,75,387
259,374,563,1,moocML,mooc,357,387
260,480,58,1,moocML,mooc,387,401
261,1067,563,1,moocML,mooc,199,387
262,480,662,0,moocML,mooc,387,80
263,1240,563,1,moocML,mooc,214,387
264,480,404,0,moocML,mooc,387,35
265,803,563,1,moocML,mooc,409,387
266,480,503,0,moocML,mooc,387,296
267,480,754,0,moocML,mooc,387,238
268,480,1514,0,moocML,mooc,387,264
269,480,537,1,moocML,mooc,387,327
270,480,481,1,moocML,mooc,387,246
271,480,1063,0,moocML,mooc,387,18
272,480,1487,0,moocML,mooc,387,33
273,480,1482,0,moocML,mooc,387,271
274,945,563,1,moocML,mooc,363,387
275,419,563,1,moocML,mooc,142,387
276,667,563,1,moocML,mooc,198,387
277,480,1075,0,moocML,mooc,387,312
278,478,563,1,moocML,mooc,218,387
279,480,282,0,moocML,mooc,387,84
280,480,1062,0,moocML,mooc,387,118
281,480,317,0,moocML,mooc,387,147
282,1142,158,1,moocML,mooc,169,74
283,1142,17,0,moocML,mooc,169,256
284,1142,281,0,moocML,mooc,169,157
285,1142,562,0,moocML,mooc,169,389
286,1142,426,0,moocML,mooc,169,429
287,1142,1205,0,moocML,mooc,169,430
288,1142,1010,0,moocML,mooc,169,123
289,1142,283,0,moocML,mooc,169,88
290,1142,814,0,moocML,mooc,169,366
291,1142,1403,0,moocML,mooc,169,135
292,1043,1326,1,moocML,mooc,424,169
293,1142,944,0,moocML,mooc,169,409
294,230,1326,1,moocML,mooc,100,169
295,364,1326,1,moocML,mooc,16,169
296,1142,1360,0,moocML,mooc,169,310
297,1142,1039,0,moocML,mooc,169,38
298,1142,616,0,moocML,mooc,169,28
299,122,865,0,moocML,mooc,74,368
300,122,281,0,moocML,mooc,74,157
301,122,562,0,moocML,mooc,74,389
302,122,1274,0,moocML,mooc,74,301
303,737,158,1,moocML,mooc,78,74
304,122,426,0,moocML,mooc,74,429
305,1369,158,1,moocML,mooc,27,74
306,122,231,0,moocML,mooc,74,328
307,122,1010,1,moocML,mooc,74,123
308,122,199,0,moocML,mooc,74,298
309,122,283,0,moocML,mooc,74,88
310,857,158,1,moocML,mooc,77,74
311,122,814,0,moocML,mooc,74,366
312,122,1403,1,moocML,mooc,74,135
313,466,158,1,moocML,mooc,75,74
314,374,158,1,moocML,mooc,357,74
315,122,602,0,moocML,mooc,74,377
316,122,944,0,moocML,mooc,74,409
317,427,158,1,moocML,mooc,296,74
318,636,158,1,moocML,mooc,238,74
319,230,158,1,moocML,mooc,100,74
320,364,158,1,moocML,mooc,16,74
321,122,1360,0,moocML,mooc,74,310
322,890,158,1,moocML,mooc,38,74
323,122,18,0,moocML,mooc,74,32
324,122,455,0,moocML,mooc,74,285
325,252,158,1,moocML,mooc,7,74
326,122,282,0,moocML,mooc,74,84
327,122,1533,0,moocML,mooc,74,273
328,122,1214,0,moocML,mooc,74,181
329,1168,47,0,moocML,mooc,425,126
330,1168,1274,0,moocML,mooc,425,301
331,1168,401,0,moocML,mooc,425,56
332,1168,41,1,moocML,mooc,425,326
333,1168,963,0,moocML,mooc,425,404
334,1369,1355,1,moocML,mooc,27,425
335,303,1355,1,moocML,mooc,266,425
336,897,1355,1,moocML,mooc,388,425
337,1168,1548,0,moocML,mooc,425,347
338,1168,885,0,moocML,mooc,425,314
339,1168,341,0,moocML,mooc,425,284
340,1226,1355,1,moocML,mooc,42,425
341,1168,439,1,moocML,mooc,425,182
342,466,1355,1,moocML,mooc,75,425
343,374,1355,1,moocML,mooc,357,425
344,906,1355,1,moocML,mooc,292,425
345,1168,662,0,moocML,mooc,425,80
346,1168,404,0,moocML,mooc,425,35
347,803,1355,1,moocML,mooc,409,425
348,427,1355,1,moocML,mooc,296,425
349,1168,264,0,moocML,mooc,425,309
350,1304,1355,1,moocML,mooc,264,425
351,360,1355,1,moocML,mooc,358,425
352,1168,1063,0,moocML,mooc,425,18
353,1168,493,0,moocML,mooc,425,142
354,1168,1067,0,moocML,mooc,425,81
355,1168,178,0,moocML,mooc,425,355
356,1168,878,1,moocML,mooc,425,4
357,1168,1217,0,moocML,mooc,425,295
358,1168,561,0,moocML,mooc,425,218
359,1321,1355,1,moocML,mooc,273,425
360,512,1355,1,moocML,mooc,107,425
361,120,1355,1,moocML,mooc,191,425
362,913,1355,1,moocML,mooc,118,425
363,269,1355,1,moocML,mooc,147,425
364,584,1355,1,moocML,mooc,236,425
365,1168,975,0,moocML,mooc,425,203
366,1168,134,0,moocML,mooc,425,51
367,1168,95,0,moocML,mooc,425,431
368,1168,646,0,moocML,mooc,425,91
369,1168,1434,0,moocML,mooc,425,138
370,438,14,0,moocML,mooc,101,308
371,438,248,0,moocML,mooc,101,185
372,438,1274,0,moocML,mooc,101,301
373,438,653,0,moocML,mooc,101,209
374,438,1526,0,moocML,mooc,101,415
375,438,1153,0,moocML,mooc,101,132
376,438,846,1,moocML,mooc,101,294
377,1333,516,1,moocML,mooc,347,101
378,749,516,1,moocML,mooc,314,101
379,438,1422,0,moocML,mooc,101,42
380,1323,516,1,moocML,mooc,350,101
381,1280,516,1,moocML,mooc,213,101
382,438,547,0,moocML,mooc,101,75
383,438,442,0,moocML,mooc,101,357
384,438,662,0,moocML,mooc,101,80
385,438,830,0,moocML,mooc,101,227
386,438,404,0,moocML,mooc,101,35
387,438,944,0,moocML,mooc,101,409
388,438,1172,0,moocML,mooc,101,136
389,438,181,0,moocML,mooc,101,53
390,438,1140,0,moocML,mooc,101,49
391,914,516,1,moocML,mooc,18,101
392,438,973,0,moocML,mooc,101,382
393,438,616,0,moocML,mooc,101,28
394,438,263,0,moocML,mooc,101,396
395,438,981,0,moocML,mooc,101,96
396,918,516,1,moocML,mooc,81,101
397,438,799,0,moocML,mooc,101,198
398,438,509,0,moocML,mooc,101,383
399,438,966,0,moocML,mooc,101,311
400,438,1075,0,moocML,mooc,101,312
401,438,878,0,moocML,mooc,101,4
402,438,165,0,moocML,mooc,101,371
403,438,561,0,moocML,mooc,101,218
404,438,1062,0,moocML,mooc,101,118
405,438,317,0,moocML,mooc,101,147
406,438,622,0,moocML,mooc,101,267
407,1030,248,0,moocML,mooc,373,185
408,1030,1274,0,moocML,mooc,373,301
409,1030,426,0,moocML,mooc,373,429
410,1030,401,0,moocML,mooc,373,56
411,1369,1196,1,moocML,mooc,27,373
412,1030,653,0,moocML,mooc,373,209
413,762,1196,1,moocML,mooc,422,373
414,1030,766,0,moocML,mooc,373,67
415,1030,383,0,moocML,mooc,373,110
416,1030,241,0,moocML,mooc,373,270
417,1030,1153,0,moocML,mooc,373,132
418,1030,950,0,moocML,mooc,373,104
419,897,1196,1,moocML,mooc,388,373
420,1030,711,0,moocML,mooc,373,299
421,1030,382,0,moocML,mooc,373,171
422,1030,199,0,moocML,mooc,373,298
423,239,1196,1,moocML,mooc,88,373
424,1030,1422,0,moocML,mooc,373,42
425,1030,20,0,moocML,mooc,373,339
426,1030,296,0,moocML,mooc,373,211
427,505,1196,1,moocML,mooc,334,373
428,1030,432,0,moocML,mooc,373,17
429,1030,987,0,moocML,mooc,373,348
430,1030,360,0,moocML,mooc,373,258
431,466,1196,1,moocML,mooc,75,373
432,374,1196,1,moocML,mooc,357,373
433,906,1196,1,moocML,mooc,292,373
434,1030,1257,0,moocML,mooc,373,45
435,1030,1154,0,moocML,mooc,373,134
436,1030,297,0,moocML,mooc,373,413
437,1030,66,0,moocML,mooc,373,63
438,1030,662,0,moocML,mooc,373,80
439,1030,1437,0,moocML,mooc,373,214
440,1030,404,0,moocML,mooc,373,35
441,803,1196,1,moocML,mooc,409,373
442,427,1196,1,moocML,mooc,296,373
443,636,1196,1,moocML,mooc,238,373
444,1030,1218,0,moocML,mooc,373,241
445,220,1196,1,moocML,mooc,309,373
446,1030,277,0,moocML,mooc,373,100
447,1030,429,0,moocML,mooc,373,16
448,1030,93,0,moocML,mooc,373,381
449,1030,882,0,moocML,mooc,373,224
450,394,1196,1,moocML,mooc,8,373
451,360,1196,1,moocML,mooc,358,373
452,1030,181,0,moocML,mooc,373,53
453,1030,455,0,moocML,mooc,373,285
454,1030,1140,0,moocML,mooc,373,49
455,1030,1063,0,moocML,mooc,373,18
456,1030,616,0,moocML,mooc,373,28
