conceptA,conceptB,isPrerequisite,dataset
0,656,1,al_cpl
0,10,0,al_cpl
0,928,0,al_cpl
0,247,1,al_cpl
0,386,1,al_cpl
0,1574,1,al_cpl
1,743,1,drive
1,1182,0,drive
1,959,1,drive
1,1399,0,drive
1,1448,0,drive
1,850,0,drive
1,1124,1,drive
1,1016,1,drive
1,141,0,drive
1,1202,0,drive
1,522,1,drive
1,791,0,drive
1,996,0,drive
1,80,0,drive
1,1365,1,drive
2,317,0,moocML
2,277,1,moocML
2,503,0,moocML
2,878,0,moocML
2,1209,1,moocML
2,314,0,moocML
2,881,0,moocML
2,1062,0,moocML
2,134,0,moocML
2,1063,0,moocML
2,369,0,moocML
2,1140,0,moocML
2,799,0,moocML
2,966,0,moocML
3,1522,1,moocDSA
3,291,1,moocDSA
3,815,0,moocDSA
3,1023,0,moocDSA
4,228,0,al_cpl
4,1436,0,al_cpl
4,65,1,drive
4,597,0,al_cpl
4,336,0,al_cpl
4,140,0,al_cpl
4,1079,0,al_cpl
4,1126,0,al_cpl
4,1281,0,al_cpl
4,990,0,al_cpl
4,1353,0,al_cpl
4,1581,0,al_cpl
4,365,0,al_cpl
4,690,0,al_cpl
4,908,0,al_cpl
4,1049,0,al_cpl
4,1537,1,drive
4,883,0,drive
4,143,0,al_cpl
4,135,1,drive
4,1555,0,drive
4,588,0,al_cpl
4,1159,0,al_cpl
4,416,0,drive
4,1152,0,al_cpl
4,68,0,al_cpl
4,918,0,al_cpl
4,1341,0,al_cpl
4,1361,0,drive
4,693,0,al_cpl
4,453,0,al_cpl
4,1174,0,al_cpl
4,1528,0,al_cpl
4,419,0,al_cpl
4,144,0,al_cpl
4,994,0,al_cpl
4,1081,0,drive
4,1258,0,al_cpl
4,372,0,al_cpl
4,712,0,al_cpl
4,521,0,al_cpl
4,1384,0,al_cpl
4,954,0,al_cpl
4,1312,0,al_cpl
4,357,0,drive
4,1484,0,al_cpl
4,822,0,al_cpl
4,333,0,al_cpl
