conceptA,conceptB,isPrerequisite,dataset
activation values,activation function,1,moocML
activation function,back prop,1,moocML
activation function,bias unit,0,moocML
activation function,features,0,moocML
activation function,derivative term,0,moocML
activation function,error cost function,0,moocML
activation function,feature vector,0,moocML
activation function,forward propagation,1,moocML
activation function,gradient descent,0,moocML
hidden layer,activation function,1,moocML
hidden unit,activation function,1,moocML
activation function,recall,0,moocML
activation function,hypothesis,0,moocML
activation function,input layer,0,moocML
activation function,input units,0,moocML
activation function,learning method,0,moocML
activation function,learning problem,0,moocML
activation function,linear regression,0,moocML
logistic function,activation function,1,moocML
activation function,logistic regression,0,moocML
activation function,loss function,0,moocML
activation function,matrix vector multiplication,0,moocML
activation function,minimization problem,0,moocML
activation function,negative example,0,moocML
neural network,activation function,1,moocML
activation function,nonlinear hypotheses,0,moocML
activation function,matrix,0,moocML
activation function,optimal solution,0,moocML
activation function,optimization algorithms,0,moocML
activation function,optimization objective,0,moocML
activation function,optimization problem,0,moocML
activation function,output label,0,moocML
activation function,output layer,0,moocML
activation function,output unit,0,moocML
activation function,parameter vector,0,moocML
activation function,partial derivative,0,moocML
activation function,polynomial terms,0,moocML
activation function,positive data,0,moocML
activation function,regression model,0,moocML
activation function,regularization,0,moocML
sigmoid function,activation function,1,moocML
activation function,squared error,0,moocML
activation function,supervised learning,0,moocML
activation function,support vector,0,moocML
activation function,support vector machine,0,moocML
activation function,test data set,0,moocML
activation function,training data,0,moocML
activation function,training data set,0,moocML
activation function,validation set,0,moocML
activation function,vector multiplication,0,moocML
activation values,back prop,1,moocML
activation values,bias unit,0,moocML
activation values,features,0,moocML
activation values,derivative term,0,moocML
activation values,error cost function,0,moocML
activation values,feature vector,0,moocML
activation values,forward propagation,1,moocML
activation values,gradient descent,0,moocML
hidden layer,activation values,1,moocML
hidden unit,activation values,1,moocML
activation values,recall,0,moocML
activation values,input layer,0,moocML
activation values,input units,0,moocML
activation values,learning method,0,moocML
activation values,linear regression,0,moocML
activation values,logistic function,0,moocML
activation values,logistic regression,0,moocML
activation values,loss function,0,moocML
activation values,matrix vector multiplication,0,moocML
neural network,activation values,1,moocML
activation values,nonlinear hypotheses,0,moocML
activation values,matrix,0,moocML
activation values,optimization algorithms,0,moocML
activation values,output label,0,moocML
activation values,output layer,0,moocML
activation values,output unit,0,moocML
activation values,partial derivative,0,moocML
activation values,polynomial terms,0,moocML
activation values,regression model,0,moocML
activation values,regularization,0,moocML
activation values,sigmoid function,0,moocML
activation values,squared error,0,moocML
activation values,training data,0,moocML
activation values,training data set,0,moocML
activation values,vector multiplication,0,moocML
boosting algorithm,adaboost,1,moocML
adaboost,classification error,0,moocML
adaboost,computer vision,0,moocML
adaboost,data set,0,moocML
adaboost,decision boundaries,0,moocML
adaboost,decision stamp,0,moocML
adaboost,decision tree,0,moocML
adaboost,face detection,0,moocML
adaboost,precision,0,moocML
adaboost,recall,0,moocML
learning method,adaboost,1,moocML
adaboost,loss function,0,moocML
machine learning,adaboost,1,moocML
machine learning algorithm,adaboost,1,moocML
negative example,adaboost,1,moocML
adaboost,optimal solution,0,moocML
positive data,adaboost,1,moocML
adaboost,sentiment analysis,0,moocML
training data,adaboost,1,moocML
training error,adaboost,1,moocML
weak classifier,adaboost,1,moocML
adaboost,overfitting,0,moocML
cluster,agglomerative clustering,1,moocML
clustering algorithm,agglomerative clustering,1,moocML
agglomerative clustering,features,0,moocML
data set,agglomerative clustering,1,moocML
agglomerative clustering,feature space,0,moocML
hierarchical clustering,agglomerative clustering,1,moocML
k means,agglomerative clustering,1,moocML
agglomerative clustering,mixture model,0,moocML
agglomerative clustering,nearest neighbors,0,moocML
anomalous example,anomaly detection,1,moocML
anomalous example,classification accuracy,0,moocML
anomalous example,cluster,0,moocML
anomalous example,features,0,moocML
anomalous example,cross validation,0,moocML
anomalous example,cross validation sets,0,moocML
data set,anomalous example,1,moocML
anomalous example,error analysis,0,moocML
anomalous example,evaluation metrics,0,moocML
anomalous example,f1 score,0,moocML
anomalous example,false negative,0,moocML
anomalous example,false positives,0,moocML
anomalous example,feature vector,0,moocML
anomalous example,gaussian density,0,moocML
anomalous example,recall,0,moocML
labeled data,anomalous example,1,moocML
anomalous example,learning method,0,moocML
anomalous example,learning problem,0,moocML
anomalous example,machine learning,0,moocML
anomalous example,non-anomalous examples,0,moocML
anomalous example,parameter estimation,0,moocML
anomalous example,standard deviation,0,moocML
anomalous example,supervised learning,0,moocML
anomalous example,test data,0,moocML
anomalous example,test data set,0,moocML
training data,anomalous example,1,moocML
training data set,anomalous example,1,moocML
anomalous example,true negatives,0,moocML
anomalous example,true positives,0,moocML
anomalous example,unsupervised learning,0,moocML
anomalous example,validation set,0,moocML
anomaly detection,big data sets,0,moocML
anomaly detection,classification accuracy,0,moocML
anomaly detection,cluster,0,moocML
anomaly detection,features,0,moocML
anomaly detection,computer vision,0,moocML
anomaly detection,covariance matrix,0,moocML
anomaly detection,cross validation,0,moocML
anomaly detection,cross validation sets,0,moocML
data set,anomaly detection,1,moocML
anomaly detection,dimensionality reduction,0,moocML
anomaly detection,error analysis,0,moocML
anomaly detection,evaluation metrics,0,moocML
anomaly detection,f1 score,0,moocML
anomaly detection,false negative,0,moocML
anomaly detection,false positives,0,moocML
anomaly detection,feature vector,0,moocML
anomaly detection,gaussian density,0,moocML
anomaly detection,gaussian model,0,moocML
anomaly detection,hierarchical clustering,0,moocML
anomaly detection,precision,0,moocML
